paper,title,affiliation,author
s59-1,ウルトラファインバブルを含むエンジン油がピストン系摩擦損失低減に与える効果<br>-シリンダボア面性状及び潤滑油の粘度変化と摩擦低減の関係-,東京都市大学大学院,noname
s38-2,エアテーブル選別機によるASRからの有価物の回収における選別成績についての調査,東北公益文科大学,noname
s57-2,エタノール含有燃料を用いた要素技術開発,SUBARU,noname
s55-4,エタノール着火抑制作用のベース燃料依存性に関する衝撃波管研究,広島大学大学院,noname
s55-4,エタノール着火抑制作用のベース燃料依存性に関する衝撃波管研究,上智大学,noname
s55-4,エタノール着火抑制作用のベース燃料依存性に関する衝撃波管研究,上智大学大学院,noname
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,ACテクノロジーズ,noname
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,コーア,noname
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,シーメンス,noname
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,デンソー,noname
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,ルビコン,noname
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,東京科学大学,noname
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,東芝デバイス&amp;ストレージ,noname
s15-1,エンジンの燃費を向上する燃焼室高応答遮熱材料技術の開発（第4報）<br>-遮熱膜の密着モデルと下地加工モデルの構築-,マツダ,noname
s45-3,エンジン背景音を用いたピストン打音評価技術の開発,マツダ,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,ジヤトコエンジニアリング,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,トヨタ自動車,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,マツダ,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,数値流体力学コンサルティング,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,大阪大学,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,東京大学,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,本田技研工業,noname
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,本田技術研究所,noname
s9-3,グラフ構造化分析を用いた自動車の空気抵抗に寄与する流れ場の同定,マツダ,noname
s9-3,グラフ構造化分析を用いた自動車の空気抵抗に寄与する流れ場の同定,広島大学,noname
s37-1,コーティング技術を利用したFSWツールの耐久性向上,茨城大学大学院,noname
s37-1,コーティング技術を利用したFSWツールの耐久性向上,日本コーティングセンター,noname
s56-3,コールドスタート排出ガス規制対応重量車からのPN排出挙動,数理計画,noname
s56-3,コールドスタート排出ガス規制対応重量車からのPN排出挙動,東京電機大学,noname
s56-3,コールドスタート排出ガス規制対応重量車からのPN排出挙動,東計エンジニアリング,noname
s51-1,コロナ患者の移送をEV車で実施する際の換気量の研究（その4）,無,noname
s38-3,サーキュラーエコノミーにおける自動車リサイクルの未来：資源循環の新しい価値創造,ヴェオリア・ジャパン合同会社,noname
s16-5,サスペンションの上下摩擦が車両平面運動に及ぼす影響 (第2報),神奈川工科大学,noname
s16-1,シート特性違いによるドライバ遅れ時間（τL）の確認,トヨタ紡織,noname
s62-2,シナリオを用いた自律走行車におけるマイクロ倫理の特性,ニルソフトウェア,noname
s19-5,シャシダイナモメータを用いた走行音の測定条件に関する実験的検討,林テレンプ,noname
s81-3,ステアバイワイヤEPS用ストロークセンサのロバスト性向上検討,プロテリアル,noname
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,日立Astemo,noname
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,日立製作所,noname
s22-2,ステンレス鋼板の疲労下限界における引張および曲げ負荷の影響（第2報）<br>-応力比による変化-,東京濾器,noname
s37-2,ステンレス箔材の抵抗シーム溶接における溶接速度の影響,ART-HIKARI,noname
s37-2,ステンレス箔材の抵抗シーム溶接における溶接速度の影響,茨城大学大学院,noname
s37-2,ステンレス箔材の抵抗シーム溶接における溶接速度の影響,野上技研,noname
s31-5,スマートフォンを活用した横断児童接近通知システムの効果評価,KDDI株式会社,noname
s31-5,スマートフォンを活用した横断児童接近通知システムの効果評価,トヨタ自動車,noname
s68-3,タイヤスリップ特性における水膜厚さ・速度依存性を表現可能なタイヤモデルへの拡張,Siemens Industry Software and Servises,noname
s68-3,タイヤスリップ特性における水膜厚さ・速度依存性を表現可能なタイヤモデルへの拡張,シーメンス,noname
s69-6,タイヤホイールの変形を利用した車直進走行時の路面接地荷重の測定,スズキ,noname
s69-6,タイヤホイールの変形を利用した車直進走行時の路面接地荷重の測定,金沢大学,noname
s44-1,タイヤ車外騒音の評価技術開発と発生メカニズム検討,株式会社セキソー,noname
s68-5,タイヤ特性を考慮した電動パワーステアリングによる過渡ヨー応答の改善,スズキ,noname
s28-5,タッチパネルディスプレイを用いた運転リスク評価と画像解析から推定された運転リスクの関係,名古屋大学,noname
s6-2,ディーゼルエンジンにおける筒内水噴射を用いたNOx低減ストラテジー（第2報）<br>-筒内水成層コンセプトの高負荷条件への適用-,豊田自動織機,noname
s6-2,ディーゼルエンジンにおける筒内水噴射を用いたNOx低減ストラテジー（第2報）<br>-筒内水成層コンセプトの高負荷条件への適用-,豊田中央研究所,noname
s34-1,ディーゼルエンジンのピストン圧縮によるメタノール混合バイオガスの改質,ヤンマーホールディングス,noname
s34-1,ディーゼルエンジンのピストン圧縮によるメタノール混合バイオガスの改質,北海道大学,noname
s6-4,ディーゼル機関の高圧縮比下（高雰囲気密度場）における噴霧内濃度分布と壁面干渉に関するモデル解析,同志社大学,noname
s6-4,ディーゼル機関の高圧縮比下（高雰囲気密度場）における噴霧内濃度分布と壁面干渉に関するモデル解析,同志社大学大学院,noname
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,豊田中央研究所,noname
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,豊田中央研究所,noname
s48-5,ディスクブレーキの引きずりトルク低減に関する考察 （第2報）,アドヴィックス,noname
s60-2,デジタルツインによるバーチャルテストとそれを用いたデジタル認証への取り組みII<br>-包括的CO2削減と新たなものづくりの仕組み-,AGC,noname
s60-2,デジタルツインによるバーチャルテストとそれを用いたデジタル認証への取り組みII<br>-包括的CO2削減と新たなものづくりの仕組み-,デジタルツインズ,noname
s60-2,デジタルツインによるバーチャルテストとそれを用いたデジタル認証への取り組みII<br>-包括的CO2削減と新たなものづくりの仕組み-,株式会社 JSOL,noname
s60-2,デジタルツインによるバーチャルテストとそれを用いたデジタル認証への取り組みII<br>-包括的CO2削減と新たなものづくりの仕組み-,同志社大学,noname
s60-1,デジタル認証やカーボンニュートラルへの支援技術<br>-デジタル認証プロトコルにおけるシミュレーション・セットアップ-,(株,noname
s60-1,デジタル認証やカーボンニュートラルへの支援技術<br>-デジタル認証プロトコルにおけるシミュレーション・セットアップ-,AGC(株,noname
s60-1,デジタル認証やカーボンニュートラルへの支援技術<br>-デジタル認証プロトコルにおけるシミュレーション・セットアップ-,同志社大学,noname
s71-4,ドライバーの感性とシンクロする次世代e: HEV制御技術の開発,本田技研工業,noname
s53-4,ドライバの頭部移動によるミラー視界拡大範囲の分析,芝浦工業大学,noname
s53-4,ドライバの頭部移動によるミラー視界拡大範囲の分析,日本自動車研究所,noname
s53-4,ドライバの頭部移動によるミラー視界拡大範囲の分析,日本自動車工業会,noname
s16-2,ドライバ着座位置が操舵特性評価に及ぼす影響,神奈川工科大学,noname
s16-2,ドライバ着座位置が操舵特性評価に及ぼす影響,神奈川工科大学工学部機械工学科,noname
s16-2,ドライバ着座位置が操舵特性評価に及ぼす影響,神奈川工科大学大学院工学研究科機械システム工学専攻,noname
s16-2,ドライバ着座位置が操舵特性評価に及ぼす影響,神奈川工科大学大学院工学研究機械システム工学専攻,noname
s31-2,ドライブレコーダー映像を活用した一時停止交差点における出会い頭事故の解析,あいおいニッセイ同和損害保険,noname
s31-2,ドライブレコーダー映像を活用した一時停止交差点における出会い頭事故の解析,東京農工大学,noname
s86-3,ドライブレコーダ映像とマルチエージェント交通シミュレーションとの連携技術の実現に向けて<br>-デジタル都市モデルを活用した3D位置再構成技術の開発-,合同会社nitro,noname
s86-3,ドライブレコーダ映像とマルチエージェント交通シミュレーションとの連携技術の実現に向けて<br>-デジタル都市モデルを活用した3D位置再構成技術の開発-,三咲デザイン合同会社,noname
s86-3,ドライブレコーダ映像とマルチエージェント交通シミュレーションとの連携技術の実現に向けて<br>-デジタル都市モデルを活用した3D位置再構成技術の開発-,日本工業大学,noname
s8-4,ドラムブレーキにおけるBPEのCFDシミュレーション,日清紡ブレーキ株式会社,noname
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,University Malaysia Pahang,noname
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,愛知工科大学,noname
s17-5,トレイルブレーキング操作による車両旋回挙動への影響,東海大学,noname
s9-2,トンネル入口緩衝工に設けられた開口部と車両周りの流れの関係,宇都宮大学大学院,noname
s9-2,トンネル入口緩衝工に設けられた開口部と車両周りの流れの関係,株式会社トヨタ ガズーレーシング ディベロップメント,noname
s75-3,ハブナットクランプ式車両拘束装置が車両に与える振動の影響（第2報）,F-MAコンサルティング,noname
s75-3,ハブナットクランプ式車両拘束装置が車両に与える振動の影響（第2報）,明電舎,noname
s55-6,パラフィン系燃料を用いた燃料性状の大型圧縮着火エンジンの燃焼および排出ガス特性に及ぼす影響,新エィシーイー,noname
s13-3,パルス電流の波形制御と休止時間自動制御による高板厚比三枚重ねスポット溶接技術の開発（その1）<br>-CDC新スポット溶接技術-,大阪大学,noname
s13-3,パルス電流の波形制御と休止時間自動制御による高板厚比三枚重ねスポット溶接技術の開発（その1）<br>-CDC新スポット溶接技術-,本田技研工業,noname
s13-4,パルス電流の波形制御と休止時間自動制御による高板厚比三枚重ねスポット溶接技術の開発（その2）<br>-CDC新スポット溶接技術-,大阪大学,noname
s13-4,パルス電流の波形制御と休止時間自動制御による高板厚比三枚重ねスポット溶接技術の開発（その2）<br>-CDC新スポット溶接技術-,本田技研工業,noname
s59-3,ピストンスカート形状が摺動部の油膜体積におよぼす影響,いすゞ中央研究所,noname
s59-3,ピストンスカート形状が摺動部の油膜体積におよぼす影響,東京都市大学,noname
s79-4,ファーサイド側突事故における胸腹部の傷害の影響因子と傷害低減の検討,滋賀医科大学,noname
s79-4,ファーサイド側突事故における胸腹部の傷害の影響因子と傷害低減の検討,豊田合成,noname
s63-4,プラズマとHC吸着材を用いた排ガス後処理システムの開発,キャタラー,noname
s63-4,プラズマとHC吸着材を用いた排ガス後処理システムの開発,ダイハツ工業,noname
s37-5,ブレーキディスク用ステンレス鋼の摩擦摩耗特性,日鉄ステンレス,noname
s37-5,ブレーキディスク用ステンレス鋼の摩擦摩耗特性,日本製鉄,noname
s5-5,ベイジアンネットワークによる駆動系浸炭部品の異常粒成長発生予測,エムアイシックス,noname
s5-5,ベイジアンネットワークによる駆動系浸炭部品の異常粒成長発生予測,ジヤトコ,noname
s5-5,ベイジアンネットワークによる駆動系浸炭部品の異常粒成長発生予測,東京大学,noname
s53-5,ペダル踏み間違い発生メカニズムとしての不適切なスキーマと注意欠損の相互作用,産業技術総合研究所,noname
s53-5,ペダル踏み間違い発生メカニズムとしての不適切なスキーマと注意欠損の相互作用,筑波大学,noname
s55-3,ペンテン，エタノール，イソオクタン予混合乱流火炎の伝播特性,九州大学,noname
s7-1,ポスト噴射に由来する窒素酸化物の還元メカニズム,ヤンマーホールディングス,noname
s7-1,ポスト噴射に由来する窒素酸化物の還元メカニズム,北海道大学 大学院工学研究科,noname
s7-1,ポスト噴射に由来する窒素酸化物の還元メカニズム,北海道大学大学院,noname
s13-2,ホットスタンプによる大規模部品一体化技術開発,日本製鉄,noname
s15-3,ボディ熱変形CAEの活用によるマスチック適用部の品質向上,スズキ,noname
s21-5,ボルト締結部の振動特性に及ぼす接合界面の介在物の影響,東京都市大学,noname
s21-5,ボルト締結部の振動特性に及ぼす接合界面の介在物の影響,東京都市大学大学院,noname
s85-1,マルチエージェント交通シミュレーションと交通安全性評価－現状と今後の課題,香川大学,noname
s85-1,マルチエージェント交通シミュレーションと交通安全性評価－現状と今後の課題,三咲デザイン,noname
s85-4,マルチエージェント交通シミュレーションと複数台DS連携による高速道路合流に対する支援方策の有効性検証,マツダ株式会社，香川大学,noname
s85-4,マルチエージェント交通シミュレーションと複数台DS連携による高速道路合流に対する支援方策の有効性検証,香川大学,noname
s85-4,マルチエージェント交通シミュレーションと複数台DS連携による高速道路合流に対する支援方策の有効性検証,三咲デザイン合同会社,noname
s85-4,マルチエージェント交通シミュレーションと複数台DS連携による高速道路合流に対する支援方策の有効性検証,東洋大学,noname
s86-4,マルチエージェント交通シミュレーションにより生成される交通流の下での同一被験者による長期間にわたるシミュレータ走行データの取得と分析,京都橘大学,noname
s86-4,マルチエージェント交通シミュレーションにより生成される交通流の下での同一被験者による長期間にわたるシミュレータ走行データの取得と分析,瀬戸内シミュレータ,noname
s86-4,マルチエージェント交通シミュレーションにより生成される交通流の下での同一被験者による長期間にわたるシミュレータ走行データの取得と分析,東洋大学,noname
s86-6,マルチエージェント交通シミュレーションを用いた，メーカーの自動運転事故の法的リスク管理,もみのき・友近法律事務所,noname
s86-1,マルチエージェント交通流シミュレーションと自動運転車を接続した仮想評価環境と高度化技法の研究,OS企画,noname
s86-1,マルチエージェント交通流シミュレーションと自動運転車を接続した仮想評価環境と高度化技法の研究,金沢大学,noname
s86-1,マルチエージェント交通流シミュレーションと自動運転車を接続した仮想評価環境と高度化技法の研究,三咲デザイン,noname
s86-1,マルチエージェント交通流シミュレーションと自動運転車を接続した仮想評価環境と高度化技法の研究,日本自動車研究所,noname
s60-6,マルチツールをオンライン連成するCo-Simulation環境の構築（第6報）<br>-機械学習を用いた1Dサーマルプラントモデルのサロゲートモデル構築-,本田技研工業,noname
s80-2,ミクロ調査におけるイベントデータレコーダ(EDR)等によるペダル誤操作事故の実態及び傾向に関する検討,交通事故総合分析センター,noname
s80-2,ミクロ調査におけるイベントデータレコーダ(EDR)等によるペダル誤操作事故の実態及び傾向に関する検討,自動車技術総合機構,noname
s1-5,モーターサイクル用水素エンジンの空気過剰率と回転速度が瞬時熱流束に与える影響,スズキ,noname
s1-5,モーターサイクル用水素エンジンの空気過剰率と回転速度が瞬時熱流束に与える影響,ヤマハ発動機,noname
s1-5,モーターサイクル用水素エンジンの空気過剰率と回転速度が瞬時熱流束に与える影響,株式会社モトラ,noname
s1-5,モーターサイクル用水素エンジンの空気過剰率と回転速度が瞬時熱流束に与える影響,東京都市大学,noname
s1-5,モーターサイクル用水素エンジンの空気過剰率と回転速度が瞬時熱流束に与える影響,本田技研工業,noname
s21-1,ラジエター用バイオニッククーリングファンの開発,マーレベーア,noname
s21-1,ラジエター用バイオニッククーリングファンの開発,マーレベーアジャパン,noname
s57-3,リアルタイム燃料改質を用いた副室式希薄ガソリン燃焼システムの多気筒実証,㈱サステナブル・エンジン・リサーチセンター,noname
s57-3,リアルタイム燃料改質を用いた副室式希薄ガソリン燃焼システムの多気筒実証,千葉大学,noname
s43-6,リーンバーンエンジン搭載ハイブリッド車のための熱電変換材料の開発,産業技術総合研究所,noname
s43-6,リーンバーンエンジン搭載ハイブリッド車のための熱電変換材料の開発,日本自動車研究所,noname
s37-4,リチウムイオン電池環境におけるステンレス鋼の耐食性評価,日鉄ステンレス,noname
s19-1,ロードノイズ低減のための機械学習による車両各部の目標特性決定手法（第2報）<br>-複数解探索手法の構築-,エステック,noname
s19-1,ロードノイズ低減のための機械学習による車両各部の目標特性決定手法（第2報）<br>-複数解探索手法の構築-,本田技研工業,noname
s10-3,ロボットアームと差動ステアにおけるデザインと機能の融合,東京農工大学,noname
s6-5,圧縮着火機関における噴霧－潤滑油膜壁面干渉過程のモデリング,同志社大学,noname
s6-5,圧縮着火機関における噴霧－潤滑油膜壁面干渉過程のモデリング,同志社大学大学院,noname
s85-5,安心感の高い視認支援デバイスの設計方法<br>-マルチエージェントシミュレーションRe:simの活用-,ペンストン,noname
s85-5,安心感の高い視認支援デバイスの設計方法<br>-マルチエージェントシミュレーションRe:simの活用-,香川大学,noname
s60-3,暗号化ハッシュ関数を用いたモデルトレーサビリティーに関する検討と提案,AGC,noname
s60-3,暗号化ハッシュ関数を用いたモデルトレーサビリティーに関する検討と提案,JSOL,noname
s60-3,暗号化ハッシュ関数を用いたモデルトレーサビリティーに関する検討と提案,デジタルツインズ,noname
s60-3,暗号化ハッシュ関数を用いたモデルトレーサビリティーに関する検討と提案,三菱重工サーマルシステムズ,noname
s60-3,暗号化ハッシュ関数を用いたモデルトレーサビリティーに関する検討と提案,同志社大学,noname
s28-6,異常運転の検知手法開発,デンソー,noname
s53-6,飲酒の運転に対する影響評価,デンソー,noname
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,近畿大学,noname
s28-1,運転指導員による高齢ドライバの市街地運転評価と認知身体特性・運転意識の関係<br>-運転寿命延伸を目指したドライバ運転特性研究(44)-,名古屋大学,noname
s28-2,運転者の受容性を考慮した会話の覚醒効果と事故リスク評価,福岡工業大学,noname
s62-4,運転者の認知能力に応じた支援コンセプトの導出,マツダ,noname
s58-1,液体合成燃料およびOMEの燃焼における熱効率向上とスモーク低減を図るためのインジェクターの最適化,北海道大学工学院,noname
s56-5,欧州新規制に対応した非排気ブレーキ粒子エミッション計測システムの開発,HORIBA Europe GmbH,noname
s2-4,火花点火式水素エンジンの異常燃焼抑制に向けた水素と水の気液二相流噴射装置に関する研究,アネブル,noname
s2-4,火花点火式水素エンジンの異常燃焼抑制に向けた水素と水の気液二相流噴射装置に関する研究,同志社大学,noname
s2-4,火花点火式水素エンジンの異常燃焼抑制に向けた水素と水の気液二相流噴射装置に関する研究,同志社大学大学院,noname
s40-1,稼働データによる車載電池の健全度推定手法（第4報）,東芝,noname
s52-1,貨物運送事業における商用電動車の普及に対する課題となる外的要因の調査分析,環境優良車普及機構,noname
s52-1,貨物運送事業における商用電動車の普及に対する課題となる外的要因の調査分析,自動車技術総合機構,noname
s1-1,過給直噴水素エンジンの燃焼可視化,カワサキモータース,noname
s1-1,過給直噴水素エンジンの燃焼可視化,スズキ,noname
s1-1,過給直噴水素エンジンの燃焼可視化,ヤマハ発動機,noname
s1-1,過給直噴水素エンジンの燃焼可視化,本田技研工業,noname
s43-2,過渡対応温調機を用いた車両熱マネジメントシステム実験手法の提案,堀場製作所,noname
s14-4,画像解析を用いた工程解析システムの開発（第1報）<br>-物流工程効率に対する自動解析システムの実用性検証-,トヨタ モーター ヨーロッパ,noname
s14-4,画像解析を用いた工程解析システムの開発（第1報）<br>-物流工程効率に対する自動解析システムの実用性検証-,トヨタ自動車,noname
s49-2,格納式ステアリングコラムにおける剛性不足とNVH改善のためのリニアベアリング適応,SCHAEFFLER Technologies,noname
s49-2,格納式ステアリングコラムにおける剛性不足とNVH改善のためのリニアベアリング適応,シェフラージャパン,noname
s8-1,冠水路走行時のアンダーフロア部品破損予測のためのCAE手法開発,日産自動車,noname
s85-2,感情状態およびドライバ特性が二輪車ライダのリスクテイク行動に与える影響,Chulalongkorn University,noname
s85-2,感情状態およびドライバ特性が二輪車ライダのリスクテイク行動に与える影響,香川大学,noname
s85-2,感情状態およびドライバ特性が二輪車ライダのリスクテイク行動に与える影響,本田技研,noname
s23-5,簡易試験体を用いた衝突性能評価手法の開発と破断予測技術の検証,日本製鉄,noname
s55-5,含酸素燃料を添加した軽質オレフィンを含むガソリンサロゲート燃料の層流燃焼速度,大阪公立大学,noname
s55-5,含酸素燃料を添加した軽質オレフィンを含むガソリンサロゲート燃料の層流燃焼速度,大阪府立大学,noname
s28-3,危険性評価のための統合的運転者モデルの開発<br>-運転者の視覚機能と認知機能の再現-,福岡工業大学,noname
s54-3,機会制約付きモデル予測制御を用いた進路変更可否判断のための軌道生成技術,三菱電機,noname
s7-2,機械学習を活用したディーゼルエンジン吸気系におけるガス温度の推定,豊田中央研究所,noname
s68-4,機械学習を用いたタイヤのコーナリングフォースカーブ予測手法の構築,住友ゴム工業,noname
s83-4,機械学習を用いた樹脂部品の最適板厚設計手法の開発,ダイハツ工業,noname
s20-1,機構解析・機械学習のハイブリッドモデル構築と駆動系捩り振動開発での適用,マツダ,noname
s58-6,吸気バルブデポジットに影響するガソリン成分の特定,Lubrizol Management,noname
s58-6,吸気バルブデポジットに影響するガソリン成分の特定,SUBARU,noname
s1-4,急速圧縮機を用いた水素空気予混合火炎における燃焼過程の近赤外二色法温度計測と数値解析,カワサキモータース,noname
s1-4,急速圧縮機を用いた水素空気予混合火炎における燃焼過程の近赤外二色法温度計測と数値解析,スズキ,noname
s1-4,急速圧縮機を用いた水素空気予混合火炎における燃焼過程の近赤外二色法温度計測と数値解析,ヤマハ発動機,noname
s1-4,急速圧縮機を用いた水素空気予混合火炎における燃焼過程の近赤外二色法温度計測と数値解析,東京大学,noname
s1-4,急速圧縮機を用いた水素空気予混合火炎における燃焼過程の近赤外二色法温度計測と数値解析,本田技研工業,noname
s5-3,金属Vベルト式CVTの定常条件下でのプーリ間滑り率に及ぼす変速比の影響<br>-ー走行軌跡および相対ピッチ角の変化ー-,同志社大学,noname
s5-3,金属Vベルト式CVTの定常条件下でのプーリ間滑り率に及ぼす変速比の影響<br>-ー走行軌跡および相対ピッチ角の変化ー-,同志社大学大学院,noname
s5-2,駆動モータ用ベアリングの電食未然防止設計,日産自動車,noname
s5-4,駆動系浸炭部品におけるオーステナイト粒径の異常成長要因の影響度検討,ジヤトコ,noname
s67-2,空調効率化と温熱快適に向けた人体各部位への対流熱伝達の検討,マツダ,noname
s58-3,軽油組成や蒸留性状がPM生成に及ぼす影響に関する実験的検討,出光興産,noname
s62-3,交通事故統計データからみた一般道路における高速暴走事故の危険運転性の評価<br>-高速暴走車両の人身傷害への危険性の交通事故統計データによる推測-,福山大学,noname
s35-6,光ファイバセンシング技術を用いた降雪環境下における協調型自動運転の開発,SUBARU,noname
s35-6,光ファイバセンシング技術を用いた降雪環境下における協調型自動運転の開発,鹿島建設,noname
s43-4,構成機器をコンパクトに一体化したランキンサイクル発電機の開発<br>-第8報 金属製化と冷媒による実験-,日本大学,noname
s42-2,鉱山ダンプトラックのEV化におけるトロリー技術の実証実験,日立建機株式会社,noname
s15-2,鋼材内部の簡易的な残留応力評価・半切法の提案,茨城大学,noname
s15-2,鋼材内部の簡易的な残留応力評価・半切法の提案,秋山精鋼,noname
s33-4,高過給ポート噴射式水素エンジンの熱効率最大化に関する考察,フラットフィールド,noname
s33-4,高過給ポート噴射式水素エンジンの熱効率最大化に関する考察,株式会社リケン,noname
s33-4,高過給ポート噴射式水素エンジンの熱効率最大化に関する考察,金沢工業大学,noname
s33-4,高過給ポート噴射式水素エンジンの熱効率最大化に関する考察,東京都市大,noname
s33-4,高過給ポート噴射式水素エンジンの熱効率最大化に関する考察,日本ガイシ,noname
s33-4,高過給ポート噴射式水素エンジンの熱効率最大化に関する考察,堀場製作所,noname
s43-1,高解像度LESによる壁面衝突ディーゼル火炎の熱伝達解析,サステナブル・エンジン・リサーチセンター,noname
s43-1,高解像度LESによる壁面衝突ディーゼル火炎の熱伝達解析,千葉大学,noname
s4-2,高回転トラクションドライブの研究<br>-大減速比実験とユニット構成-,東海大学,noname
s21-3,高減衰化によって体の動きを低減させるシート構造,ホンダ・レーシング,noname
s21-3,高減衰化によって体の動きを低減させるシート構造,ホンダテクノフォート,noname
s21-3,高減衰化によって体の動きを低減させるシート構造,本田技研工業,noname
s14-2,高絶縁・高耐熱を両立したジアリルフタレート樹脂成形材料の開発,住友ベークライト,noname
s6-1,高速度赤外線カメラを用いたディーゼルエンジンピストン表面の時系列温度分布計測,いすゞ中央研究所,noname
s42-1,高速道路における走行中の間欠充電に適用するバッテリーの耐久試験方法,東洋電機製造,noname
s81-1,高密度実装電子部品の製造品質を担保するためのロバスト設計の検討と考察,トヨタ自動車,noname
s28-4,高齢ドライバのフレイル，運転経験および安全欲求の実態<br>-運転寿命延伸を目指したドライバ運転特性研究（45）-,大阪大学,noname
s28-4,高齢ドライバのフレイル，運転経験および安全欲求の実態<br>-運転寿命延伸を目指したドライバ運転特性研究（45）-,名古屋大学,noname
s59-5,再精製基油を用いた自動車用低粘度省燃費エンジン油の検討,シェルルブリカンツジャパン,noname
s86-5,災害避難時における「車両乗り捨て」をもたらす要因分析,前：日本工業大学,noname
s86-5,災害避難時における「車両乗り捨て」をもたらす要因分析,日本工業大学,noname
s63-5,三元触媒ポーラス粒子メンブレンフィルターにおける分子拡散による反応促進機構,科学技術振興機構,noname
s63-5,三元触媒ポーラス粒子メンブレンフィルターにおける分子拡散による反応促進機構,上智大学,noname
s34-3,産業用エンジンをベースとした水素エンジンシステムの研究開発,ダイヤゼブラ電機,noname
s34-3,産業用エンジンをベースとした水素エンジンシステムの研究開発,産業技術総合研究所,noname
s34-3,産業用エンジンをベースとした水素エンジンシステムの研究開発,豊田自動織機,noname
s29-4,視線推定AIモデルによるAR-HUD表示内容の煩わしさの定量評価,株,noname
s29-4,視線推定AIモデルによるAR-HUD表示内容の煩わしさの定量評価,自然科学研究機構 基礎生物学研究所,noname
s70-1,持続可能な自動車社会の展望<br>-対応の方向性と課題-,早稲田大学 次世代自動車研究機構,noname
s32-3,自己位置推定に不確実性を持つ車両から観測される周辺交通参加者の位置推定の初期検討,東京大学,noname
s9-4,自然風の変動を再現した数値解析による変調する空力騒音の低減メカニズム検討,神戸大学,noname
s9-4,自然風の変動を再現した数値解析による変調する空力騒音の低減メカニズム検討,神戸大学/理化学研究所,noname
s9-4,自然風の変動を再現した数値解析による変調する空力騒音の低減メカニズム検討,日産自動車,noname
s9-4,自然風の変動を再現した数値解析による変調する空力騒音の低減メカニズム検討,理化学研究所,noname
s54-2,自動運転による狭路すれ違いのための対向車進行軌跡予測手法および軌道計画技術の開発,日立Astemo,noname
s54-2,自動運転による狭路すれ違いのための対向車進行軌跡予測手法および軌道計画技術の開発,日立製作所,noname
s35-2,自動運転モビリティにおけるモデル予測制御による複数サービス指標の改善,日立製作所,noname
s32-5,自動運転車の行動セーフティの評価のための接近度と余裕度の指標提案,神奈川工科大学,noname
s32-5,自動運転車の行動セーフティの評価のための接近度と余裕度の指標提案,筑波大学,noname
s81-5,自動運転用センサ評価に向けた動的気象環境を再現する人工気象室の開発とその評価法（第3報）,エスペック,noname
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,トヨタ自動車,noname
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,産業技術総合研究所,noname
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,豊田中央研究所,noname
s80-1,自動車の安全基準に関する国際・国内動向,国土交通省,noname
